ABCA13
ABCA2
ABCA5
ABCC6
ABCD3
ABCG1
ABHD16A
ABI1
ABI2
ABL1
ABL2
ABR
ACACA
ACAD10
ACCS
ACE
ACIN1
ACOT7
ACSF3
ACSL6
ACTN2
ACTN4
ACTR10
ACTR3B
ADAM22
ADAMTS17
ADAMTS19
ADAMTSL5
ADCY7
ADCY9
ADD3
ADGRG7
ADRM1
AFDN
AFF1
AFF2
AFF3
AFF4
AFG2B
AFG3L2
AFP
AGAP3
AGGF1
AGK
AGMO
AHCYL2
AHI1
AHNAK
AHNAK2
AIF1L
AIP
AK7
AKAP11
AKAP13
AKAP9
ALAS2
ALDH18A1
ALK
AMPH
ANAPC2
ANGPT1
ANKRD11
ANKRD18B
ANKRD23
ANKRD28
ANKRD34C
ANKRD45
ANLN
ANO10
ANXA1
ANXA3
AP1B1
AP2A2
APBB1IP
APOC3
ARB2A
ARF1
ARFGEF2
ARHGAP21
ARHGAP22
ARHGAP26
ARHGAP32
ARHGAP35
ARHGDIB
ARHGEF12
ARHGEF17
ARHGEF18
ARHGEF6
ARID1A
ARID1B
ARID3B
ARL11
ARL13A
ARL14EPL
ARL17A
ARL17B
ARL8A
ARMH4
ARNT
ASB7
ASCC1
ASH1L
ASNS
ASPHD2
ASXL1
ASXL2
ATF7IP
ATG16L2
ATN1
ATP1B4
ATP5ME
ATP5MG
ATP5PO
ATP6V0C
ATRN
ATRX
ATXN7L3
AUTS2
AVEN
AZU1
B2M
B4GALT3
BACH2
BARD1
BAZ1B
BAZ2A
BAZ2B
BCAS4
BCL11A
BCL11B
BCL2
BCL2L1
BCL2L14
BCL6
BCL7A
BCL9
BCL9L
BCOR
BCR
BDP1
BICD1
BICD2
BIN2
BIRC6
BLMH
BLNK
BMI1
BMP2K
BMS1
BORCS5
BPTF
BRAP
BRD1
BRD9
BRK1
BRWD1
BRWD3
BSN
BST1
BTBD18
BTBD2
BTK
BTN3A1
BUD13
BZW2
C14ORF39
C16ORF96
C17ORF50
C20ORF203
C2CD2L
C2CD3
C2CD5
CA7
CABIN1
CACNA1C
CADM1
CAMK2A
CAMKK2
CAPN10
CAPRIN1
CAPS2
CASP8AP2
CBFA2T2
CBFA2T3
CBFB
CBL
CCBE1
CCDC12
CCDC28A
CCDC30
CCDC6
CCDC88C
CCL4L2
CCND1
CCND2
CCND3
CCNG2
CD24
CD300LD
CD74
CD99
CDC6
CDC73
CDH13
CDK1
CDK12
CDK13
CDK19
CDK2
CDK2AP1
CDK5RAP2
CDK5RAP3
CDK6
CDK8
CDKN1B
CDKN2A
CDX2
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CELSR3
CEMIP2
CENATAC
CENPC
CENPK
CEP164
CEP170
CEP170B
CEP192
CEP43
CEP85L
CFAP46
CFAP68
CFAP70
CHD1
CHD2
CHIC2
CHMP1A
CHMP6
CHRM4
CHST11
CIC
CIITA
CIP2A
CLCA2
CLCN3
CLCN7
CLIC5
CLIC6
CLINT1
CLIP2
CLK1
CLN5
CLP1
CLTA
